=======================================================================================
STELLAR OBJECT TYPES DATA FILE
=======================================================================================

Maximum Stellar Object Types Allowed = 1000

Allowable Values for Physical Type: 
  None, Planet, Asteroids, Storm, Star, Warp Point, Destroyed Star, Comet

Allowable Values for Planet Size:
  Asteroids, Tiny, Small, Medium, Large, Huge

Allowable Values for Planet Physical Type:
  Rock, Ice, Gas Giant

Allowable Values for Planet Atmosphere:
  None, Methane, Oxygen, Hydrogen, Carbon Dioxide

NOTE: The following combinations of plant physical type and atmosphere are 
not allowed: Gas Giant x None.

Allowable Values for all other sizes:
  Tiny, Small, Medium, Large, Huge

Allowable Values for Star Age:
  Young, Average, Old, Ancient

Allowable Values for Star Color:
  Yellow, Red, Purple, Green, Blue, White, Orange

Allowable Values for Star Luminosity:
  Dim, Average, Bright

None           - Gray
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0006 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Ven 0006 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 525
Portrait Filename          := planet_ven_0006_tiny.bmp
Large Portrait Filename    := planet_ven_0006_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0008 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Ven 0008 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 535
Portrait Filename          := planet_ven_0008_tiny.bmp
Large Portrait Filename    := planet_ven_0008_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0009 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Ven 0009 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 540
Portrait Filename          := planet_ven_0009_tiny.bmp
Large Portrait Filename    := planet_ven_0009_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0024 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Ven 0024 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 615
Portrait Filename          := planet_ven_0024_tiny.bmp
Large Portrait Filename    := planet_ven_0024_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0025 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Ven 0025 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 620
Portrait Filename          := planet_ven_0025_tiny.bmp
Large Portrait Filename    := planet_ven_0025_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0026 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Ven 0026 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 625
Portrait Filename          := planet_ven_0026_tiny.bmp
Large Portrait Filename    := planet_ven_0026_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Terr 0006 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Terr 0006 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 405
Portrait Filename          := planet_terr_0006_tiny.bmp
Large Portrait Filename    := planet_terr_0006_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Methane_Colonized.bmp

Stellar Object Name        := Planet Ven 0010 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Ven 0010 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 545
Portrait Filename          := planet_ven_0010_tiny.bmp
Large Portrait Filename    := planet_ven_0010_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Methane_Colonized.bmp

Stellar Object Name        := Planet Ven 0018 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Ven 0018 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 585
Portrait Filename          := planet_ven_0018_tiny.bmp
Large Portrait Filename    := planet_ven_0018_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Methane_Colonized.bmp

Stellar Object Name        := Planet Ven 0022 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Ven 0022 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 605
Portrait Filename          := planet_ven_0022_tiny.bmp
Large Portrait Filename    := planet_ven_0022_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Methane_Colonized.bmp

Stellar Object Name        := Planet Ven 0023 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Ven 0023 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 610
Portrait Filename          := planet_ven_0023_tiny.bmp
Large Portrait Filename    := planet_ven_0023_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Methane_Colonized.bmp

Stellar Object Name        := Planet Terr 0001 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Terr 0001 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 380
Portrait Filename          := planet_terr_0001_tiny.bmp
Large Portrait Filename    := planet_terr_0001_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0003 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Terr 0003 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 390
Portrait Filename          := planet_terr_0003_tiny.bmp
Large Portrait Filename    := planet_terr_0003_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0004 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Terr 0004 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 395
Portrait Filename          := planet_terr_0004_tiny.bmp
Large Portrait Filename    := planet_terr_0004_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0005 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Terr 0005 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 400
Portrait Filename          := planet_terr_0005_tiny.bmp
Large Portrait Filename    := planet_terr_0005_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
